member,total_precip_mm,std_dev_mm,error
pp_ens_01,17072584704.0,2.685446262359619,
pp_ens_02,17057829888.0,2.6854395866394043,
pp_ens_03,17069374464.0,2.6869466304779053,
pp_ens_04,17079812096.0,2.6849515438079834,
pp_ens_05,17056021504.0,2.683687925338745,
pp_ens_06,17098663936.0,2.690462827682495,
pp_ens_07,17074989056.0,2.6893880367279053,
pp_ens_08,17070649344.0,2.6854465007781982,
pp_ens_09,17059356672.0,2.6832571029663086,
pp_ens_10,17086054400.0,2.688521146774292,
pp_ens_11,17066233856.0,2.684596061706543,
pp_ens_12,17085169664.0,2.684898614883423,
pp_ens_13,17045739520.0,2.6830177307128906,
pp_ens_14,17082725376.0,2.6892879009246826,
pp_ens_15,17089696768.0,2.689470052719116,
pp_ens_16,17106694144.0,2.690175771713257,
pp_ens_17,17067446272.0,2.6854400634765625,
pp_ens_18,17068836864.0,2.690690040588379,
pp_ens_19,17120590848.0,2.692230701446533,
pp_ens_20,17106470912.0,2.6890604496002197,
pp_ens_21,17103941632.0,2.691819667816162,
pp_ens_22,17069948928.0,2.685767889022827,
pp_ens_23,17075232768.0,2.686641216278076,
pp_ens_24,17094493184.0,2.6915171146392822,
pp_ens_25,17100503040.0,2.6900627613067627,
pp_ens_26,17108707328.0,2.6907291412353516,
pp_ens_27,17087868928.0,2.689295768737793,
pp_ens_28,17106149376.0,2.6926681995391846,
pp_ens_29,17092513792.0,2.6889219284057617,
pp_ens_30,17132701696.0,2.6939504146575928,
